"names","counts"
"wwf",117640
"world.wide.fund.for.nature",85
"the.nature.conservancy",1514
"the.conservancy",196
"wcs",21291
"wildlife.conservation.society",617
"tnc",35338
"the.gef",2268
"thegef",2096
"pew.trust",272
"edf",27238
"the.ocean.conservancy",80
"oceana",30701
"conservation.international",538
"ciindonesia",0
"national.geographic",55502
"ipcc",6691
"peter.seligmann",42
"russ.mittermeier",116
"greg.stone",85
"aulani.wilhelm",42
"iucncongress",80582
"weneednature",1696
"natureforall",2861
"ineednature",54
"papahanaumokuakea",934
"marine.monument",19691
"forests",101765
"iucnredlist",1782
"redlist",2466
"global.goals",53039
"globalgoals",21104
"sdg",103424
"sdgs",79241
"iuu",4825
"cepf",451
"paddd",22
"mpa",336211
"marine.protected.areas",3860
"bhp.billiton.peru",0
"alto.mayo.forest",0
"geography.hope",6
"kba.partnership",277
"actions.sustainable.ocean",0
"cop22",19310
"cop.22",19692
"unfccc",25871
"earthtomarrakech",0
"earthtomarrakesh",0
"marrakech",1968
"marrakesh",20648
"cbd.mexico",0
"convention.on.biological.diversity",59
"paris.agreement",13406
"parisagreement",8638
"actonclimate",39666
"actiontime",10
"roadfromparis",0
"palm.oil",34876
"cafo",2095
"factory.farming",5001
"soy.brazil",0
"shrimp.farm",299
"shrimp.slavery",16
"vegetarian",249995
"vegan",1088554
"climategate",741
"microplastic.beads",0
"logging",179694
"bushmeat",1527
"hunting",682630
"degradation",17216
"deforestation",39967
"emission",49736
"drilling",109081
"hydropower",9922
"fracking",167298
"anthropocene",11219
"mass.extinction",9410
"gmo",234181
"gmos",47033
"nuclear.power",79170
"colony.collapse.disorder",375
"ddt",16945
"seal.hunting",230
"seal.meat",243
"overpopulation",7024
"population.increase",1144
"organic.food",32814
"pesticides",57273
"bee.die",1755
"bee.death",1110
"bees.die",6028
"bees.death",74
"bee.dying",16
"bees.dying",1197
"bees.pesticides",0
"bee.pesticides",3
"bees.pesticide",0
"bee.pesticide",3
"environmental.skepticism",0
"recycling",147913
"dakota.pipeline",197480
"environmental.racism",3039
"environmentla.justice",0
"burmese.python",2083
"emerald.ash.borer",1171
"european.starling",36
"northern.snakehead",26
"tegu",2999
"lionfish",3181
"norway.rat",2
"asian.carp",1274
"zebra.mussels",238
"kudzu",1628
"tree.of.heaven",796
"asian.longhorned.beetle",26
"cane.toad",834
"water.hyacinth",1285
"nutria",457
"acid.mine.drainage",70
"acid.rain",7799
"agricultural.runoff",106
"air.quality",33671
"algal.bloom",2482
"algal.blooms",2004
"anoxic",174
"bee",1283282
"bees",428162
"bioaccumulation",106
"biodiversity",53290
"biomagnification",30
"biosecurity",3322
"blast.fishing",42
"bottom.trawling",448
"bpa",29723
"bycatch",2590
"by.catch",0
"clearcutting",900
"clearcutt",902
"globalchange",243
"global.change",2841
"globalwarming",15447
"global.warming",214130
"climate.change",785340
"coal",497008
"consumer.capitalism",244
"coral.bleaching",6131
"cyanide.fishing",4
"desertification",1896
"dioxin",679
"ecosystem.services",2274
"ecosystem.service",2321
"ecosystem",56154
"ecosystems",19738
"electronic.waste",733
"endangered.species",84167
"endocrine.disruptors",616
"environmental.justice",22403
"eutrophication",312
"flooding",255770
"fossil.fuels",79714
"genetic.engineering",5872
"genetically.modified",16772
"ghost.nets",230
"gillnetting",26
"global",2897937
"ghg",5805
"greenhouse.gas",10858
"greenhousegas",1460
"groundwater",18013
"habitat.destruction",2616
"habitat.fragmentation",55
"herbicides",3602
"hydraulic.fracturing",2014
"illegal.logging",1215
"intensive.animal.farming",6
"invasive.species",7120
"land.degradation",376
"landfill",25878
"landslide",170893
"llegal.logging",1215
"marine.debris",2252
"meat.production",668
"mercury.fish",42
"mercury.seafood",2
"microplastic",5172
"microplastics",4525
"monoculture",2018
"mountaintop.removal",141
"natural.capital",3146
"natural.resources",33950
"nitrogen.runoff",16
"nuclear.safety",3086
"ocean.acidification",6020
"oil.spill",33743
"overdrafting",202
"overexploitation",212
"overfishing",9437
"overgrazing",241
"ozone",48927
"pacific.garbage.patch",1378
"pcb",44519
"pangolin",5211
"pesticide",100868
"planned.obsolescence",5429
"poaching",80533
"poacher",6688
"pollinator.decline",66
"pollution",268110
"renewables",18321
"renewable.energy",176142
"clean.energy",19544
"cleanenergy",4923
"resource.depletion",173
"sea.level",31541
"shark.fin",12015
"shark.finning",841
"slash.and.burn",811
"smog",44726
"soil.erosion",938
"soil.salination",0
"extinct",96127
"species.extinction",892
"superfund",12307
"tragedy.commons",0
"veganism",40222
"vegetarianism",6990
"water.conflict",253
"water.scarcity",4569
"whaling",28336
"wildlife.trade",11268
"conservation.finance",92
"wildlife",167113
"freshwater",40787
"fresh.water",45974
"livelihood",18379
"sustainable",108152
"sustainability",58479
"resilient",25864
"resilience",50320
"rainforest",25620
"jungle",176890
"national.park",94051
"national.parks",17358
"mangrove",3507
"mangroves",1251
"sustaincoffee",8
"birdsheadseascape",0
"ivory",29746
"ivorytrade",444
"valensreef",54
"whaleshark",1061
"coraltriangle",12
"coral.triangle",18
